Line,CUP,CUPcor8,numMut,CUP,VTC4,VTC1,PMA1,MAM3,chr2,none
wt,1,1,0,0,n,n,n,n,n,y
cbm1,1.614867787,1.614867787,3,0,y,n,n,n,n,n
cbm2,2.000624405,2.000624405,1,1,n,n,n,n,y,n
cbm3,2.476068175,2.476068175,2,1,n,n,n,n,y,n
cbm4,3.258671184,3.258671184,1,1,n,n,n,n,n,y
cbm5,3.77980016,3.77980016,3,1,y,n,n,n,n,n
cbm6,3.686903546,3.686903546,4,1,n,n,n,n,n,y
cbm7,0.907668418,1.815336835,10,0,n,n,n,y,n,n
cbm11,2.462303433,2.462303433,4,1,y,n,n,n,y,n
cbm13,4.02109926,4.02109926,2,1,y,n,n,n,n,n
cbm14,2.152701945,2.152701945,1,1,n,n,n,y,n,n
cbm16,0.281704463,0.281704463,2,0,n,n,y,n,y,n
cbm17,0.977735481,1.955470963,5,0,y,n,n,n,n,n
cbm18,2.795351374,2.795351374,3,1,n,y,n,n,n,n
cbm20,1.819203489,1.819203489,3,1,n,n,y,y,y,n
cbm21,1.122644307,2.245288614,5,0,n,n,n,n,y,n
cbm22,0.777479026,1.554958053,3,0,n,y,n,n,n,n
cbm24,0.769748473,0.769748473,2,0,n,n,n,n,n,y
cbm25,2.277952738,2.277952738,2,1,n,n,n,n,n,y
cbm26,0.659658698,1.319317395,4,0,n,n,y,n,n,n
cbm29,1.075643202,1.075643202,4,0,n,n,y,n,y,n
cbm30,3.296007219,3.296007219,1,1,n,n,n,n,y,n
cbm33,2.402692249,2.402692249,4,1,y,n,n,n,n,n
cbm34,2.918964865,2.918964865,3,1,y,n,n,n,n,n
cbm36,2.147356825,2.147356825,2,1,y,n,n,n,n,n
cbm37,2.037807063,2.037807063,2,1,y,n,n,n,n,n
cbm44,1.39,1.39,1,0,y,n,n,n,n,n
cbm45,2.679660801,2.679660801,2,1,y,n,n,n,n,n
cbm46,2.745371192,2.745371192,2,1,y,n,n,n,n,n
cbm47,2.340878917,2.340878917,1,1,n,y,n,n,n,n
cbm49,3.139669655,3.139669655,4,1,n,n,n,n,n,y
cbm51,2.50281868,2.50281868,2,1,n,n,n,n,n,y
cbm53,2.876359687,2.876359687,1,1,n,n,n,n,n,y
cbm54,1.979158779,1.979158779,1,1,n,n,n,n,n,y
cbm55,2.250209048,2.250209048,0,1,n,n,n,n,n,y
